[0.000000] (-) TimerEvent: {}
[0.000812] (-) JobUnselected: {'identifier': 'arduino_encoder_odom'}
[0.001182] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.001319] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.001415] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.001482] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.001574] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.001746] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.001918] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.002123] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.002221] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.002274] (-) JobUnselected: {'identifier': 'diffbot_description'}
[0.002322] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.002369] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.002416] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.002461] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.002506] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.002552] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.002597] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.002641] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.002687] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.002733] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.002778] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.002822] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.002867] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.002911] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.002956] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.003000] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.003045] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.003089] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.003133] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.003177] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.003223] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.003268] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.003313] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.003357] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.003402] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.003446] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.003490] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.003534] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.003578] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.003622] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.003666] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.003710] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.003755] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.003800] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.003845] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.003890] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.003934] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.003978] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.004022] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.004065] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.004109] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.004153] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.004197] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.004241] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.004317] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.004365] (-) JobUnselected: {'identifier': 'simple_map_test'}
[0.004411] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.004456] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.004504] (-) EventReactorShutdown: {}
