[0.000000] (-) TimerEvent: {}
[0.000788] (-) JobUnselected: {'identifier': 'arduino_encoder_odom'}
[0.000877] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.000928] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.000971] (-) JobUnselected: {'identifier': 'diffbot_description'}
[0.001011] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.001050] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.001086] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001123] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001160] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001197] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001233] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001268] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001303] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001337] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001372] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001472] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001516] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001553] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001590] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001627] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001662] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001697] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001732] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001767] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001801] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001836] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001870] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001905] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.001939] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001973] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.002007] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.002042] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.002075] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.002901] (-) EventReactorShutdown: {}
