[0.000000] (-) TimerEvent: {}
[0.000461] (-) JobUnselected: {'identifier': 'arduino_encoder_odom'}
[0.000579] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.000779] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.000956] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.001163] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.001253] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.001298] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.001337] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.001375] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.001412] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.001449] (-) JobUnselected: {'identifier': 'diffbot_description'}
[0.001485] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.001520] (-) JobUnselected: {'identifier': 'encoder_odom'}
[0.001556] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.001592] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001627] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001662] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001699] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001734] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001772] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001807] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001841] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001875] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001909] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001942] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001976] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.002010] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.002044] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.002078] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.002112] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.002146] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.002180] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.002216] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.002252] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.002287] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.002322] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.002357] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.002391] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.002429] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.002466] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.002503] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.002537] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.002573] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.002608] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.002643] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.002678] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.002713] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.002747] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.002782] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.002822] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.002860] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.002896] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.002931] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.002967] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.003003] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.003091] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.003135] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.003226] (-) JobUnselected: {'identifier': 'simple_map_test'}
[0.003282] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.003324] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.003434] (-) EventReactorShutdown: {}
