[0.000000] (-) TimerEvent: {}
[0.000409] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.000494] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.000546] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.000590] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.000630] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.000669] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.000705] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.000740] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.000775] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.000808] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.000842] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000875] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000909] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000945] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000980] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001014] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001049] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001084] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001118] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001154] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001188] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001221] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001254] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001286] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001319] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001352] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001385] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001417] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001450] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001483] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001516] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001549] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.001583] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001616] (-) JobUnselected: {'identifier': 'motor_controller'}
[0.001648] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.001680] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.001712] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.001745] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.001778] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.001811] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.001844] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.001876] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.001908] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.001941] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.001972] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.002005] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.002038] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.002071] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.002104] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.002136] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.002167] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.002199] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.002231] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.002264] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.002297] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.002384] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.002427] (-) EventReactorShutdown: {}
