[0.000000] (-) TimerEvent: {}
[0.000968] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.001090] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.001156] (-) JobUnselected: {'identifier': 'depthai-ros'}
[0.001209] (-) JobUnselected: {'identifier': 'depthai_bridge'}
[0.001257] (-) JobUnselected: {'identifier': 'depthai_descriptions'}
[0.001305] (-) JobUnselected: {'identifier': 'depthai_examples'}
[0.001350] (-) JobUnselected: {'identifier': 'depthai_filters'}
[0.001395] (-) JobUnselected: {'identifier': 'depthai_ros_driver'}
[0.001439] (-) JobUnselected: {'identifier': 'depthai_ros_msgs'}
[0.001482] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.001525] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.001568] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001609] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001666] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.002181] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.002336] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.002423] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.002482] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.002563] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.002803] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.002879] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.003152] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.003409] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.003553] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.003614] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.003664] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.003711] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.003757] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.003800] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.003845] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.003887] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.003931] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.003973] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.004016] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.004058] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.004100] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.004143] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.004185] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.004228] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.004269] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.004312] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.004355] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.004397] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.004438] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.004479] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.004520] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.004560] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.004601] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.004643] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.004683] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.004724] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.004765] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.004807] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.004847] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.004889] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.004978] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.005027] (-) EventReactorShutdown: {}
