[0.000000] (-) TimerEvent: {}
[0.003589] (-) JobUnselected: {'identifier': 'arduino_odometry'}
[0.003784] (-) JobUnselected: {'identifier': 'arduino_serial_comm'}
[0.003851] (-) JobUnselected: {'identifier': 'diffdrive_arduino'}
[0.003896] (-) JobUnselected: {'identifier': 'encoder_ultrasonic_package'}
[0.007546] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.007647] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.007695] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.012483] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.012719] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.012799] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.012845] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.012886] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.012924] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.012960] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.012995] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.013031] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.013066] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.013101] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.013136] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.013175] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.013210] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.013246] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.013281] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.013314] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.014955] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.017094] (-) JobUnselected: {'identifier': 'hcsr04_sensor'}
[0.017199] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.017249] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.017290] (-) JobUnselected: {'identifier': 'my_bot_imu'}
[0.017329] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.017364] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.017400] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.017435] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.017470] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.019061] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.021358] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.021477] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.022342] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.022448] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.022499] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.022539] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.022575] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.022611] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.022646] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.022682] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.022715] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.022749] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.022784] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.023390] (-) JobUnselected: {'identifier': 'wheel_encoder_odometry'}
[0.023481] (-) EventReactorShutdown: {}
